Time,Trend,Interest
2004-09-01,Skinny Jeans,0
2004-10-01,Skinny Jeans,0
2004-11-01,Skinny Jeans,0
2004-12-01,Skinny Jeans,0
2005-01-01,Skinny Jeans,0
2005-02-01,Skinny Jeans,0
2005-03-01,Skinny Jeans,0
2005-04-01,Skinny Jeans,0
2005-05-01,Skinny Jeans,0
2005-06-01,Skinny Jeans,0
2005-07-01,Skinny Jeans,4
2005-08-01,Skinny Jeans,11
2005-09-01,Skinny Jeans,10
2005-10-01,Skinny Jeans,22
2005-11-01,Skinny Jeans,18
2005-12-01,Skinny Jeans,17
2006-01-01,Skinny Jeans,15
2006-02-01,Skinny Jeans,17
2006-03-01,Skinny Jeans,15
2006-04-01,Skinny Jeans,14
2006-05-01,Skinny Jeans,10
2006-06-01,Skinny Jeans,10
2006-07-01,Skinny Jeans,10
2006-08-01,Skinny Jeans,14
2006-09-01,Skinny Jeans,20
2006-10-01,Skinny Jeans,22
2006-11-01,Skinny Jeans,20
2006-12-01,Skinny Jeans,24
2007-01-01,Skinny Jeans,23
2007-02-01,Skinny Jeans,24
2007-03-01,Skinny Jeans,25
2007-04-01,Skinny Jeans,23
2007-05-01,Skinny Jeans,25
2007-06-01,Skinny Jeans,26
2007-07-01,Skinny Jeans,31
2007-08-01,Skinny Jeans,25
2007-09-01,Skinny Jeans,29
2007-10-01,Skinny Jeans,33
2007-11-01,Skinny Jeans,34
2007-12-01,Skinny Jeans,35
2008-01-01,Skinny Jeans,27
2008-02-01,Skinny Jeans,25
2008-03-01,Skinny Jeans,29
2008-04-01,Skinny Jeans,24
2008-05-01,Skinny Jeans,25
2008-06-01,Skinny Jeans,20
2008-07-01,Skinny Jeans,22
2008-08-01,Skinny Jeans,27
2008-09-01,Skinny Jeans,27
2008-10-01,Skinny Jeans,31
2008-11-01,Skinny Jeans,29
2008-12-01,Skinny Jeans,31
2009-01-01,Skinny Jeans,28
2009-02-01,Skinny Jeans,26
2009-03-01,Skinny Jeans,29
2009-04-01,Skinny Jeans,26
2009-05-01,Skinny Jeans,25
2009-06-01,Skinny Jeans,22
2009-07-01,Skinny Jeans,26
2009-08-01,Skinny Jeans,26
2009-09-01,Skinny Jeans,27
2009-10-01,Skinny Jeans,29
2009-11-01,Skinny Jeans,28
2009-12-01,Skinny Jeans,33
2010-01-01,Skinny Jeans,27
2010-02-01,Skinny Jeans,29
2010-03-01,Skinny Jeans,30
2010-04-01,Skinny Jeans,36
2010-05-01,Skinny Jeans,29
2010-06-01,Skinny Jeans,21
2010-07-01,Skinny Jeans,24
2010-08-01,Skinny Jeans,26
2010-09-01,Skinny Jeans,29
2010-10-01,Skinny Jeans,29
2010-11-01,Skinny Jeans,29
2010-12-01,Skinny Jeans,32
2011-01-01,Skinny Jeans,37
2011-02-01,Skinny Jeans,36
2011-03-01,Skinny Jeans,34
2011-04-01,Skinny Jeans,34
2011-05-01,Skinny Jeans,36
2011-06-01,Skinny Jeans,35
2011-07-01,Skinny Jeans,38
2011-08-01,Skinny Jeans,41
2011-09-01,Skinny Jeans,46
2011-10-01,Skinny Jeans,51
2011-11-01,Skinny Jeans,51
2011-12-01,Skinny Jeans,56
2012-01-01,Skinny Jeans,49
2012-02-01,Skinny Jeans,52
2012-03-01,Skinny Jeans,52
2012-04-01,Skinny Jeans,59
2012-05-01,Skinny Jeans,52
2012-06-01,Skinny Jeans,50
2012-07-01,Skinny Jeans,51
2012-08-01,Skinny Jeans,51
2012-09-01,Skinny Jeans,61
2012-10-01,Skinny Jeans,53
2012-11-01,Skinny Jeans,52
2012-12-01,Skinny Jeans,60
2013-01-01,Skinny Jeans,49
2013-02-01,Skinny Jeans,50
2013-03-01,Skinny Jeans,53
2013-04-01,Skinny Jeans,54
2013-05-01,Skinny Jeans,50
2013-06-01,Skinny Jeans,44
2013-07-01,Skinny Jeans,36
2013-08-01,Skinny Jeans,48
2013-09-01,Skinny Jeans,54
2013-10-01,Skinny Jeans,52
2013-11-01,Skinny Jeans,57
2013-12-01,Skinny Jeans,66
2014-01-01,Skinny Jeans,53
2014-02-01,Skinny Jeans,54
2014-03-01,Skinny Jeans,54
2014-04-01,Skinny Jeans,65
2014-05-01,Skinny Jeans,58
2014-06-01,Skinny Jeans,52
2014-07-01,Skinny Jeans,51
2014-08-01,Skinny Jeans,60
2014-09-01,Skinny Jeans,66
2014-10-01,Skinny Jeans,69
2014-11-01,Skinny Jeans,68
2014-12-01,Skinny Jeans,83
2015-01-01,Skinny Jeans,60
2015-02-01,Skinny Jeans,60
2015-03-01,Skinny Jeans,60
2015-04-01,Skinny Jeans,61
2015-05-01,Skinny Jeans,60
2015-06-01,Skinny Jeans,68
2015-07-01,Skinny Jeans,56
2015-08-01,Skinny Jeans,64
2015-09-01,Skinny Jeans,65
2015-10-01,Skinny Jeans,66
2015-11-01,Skinny Jeans,68
2015-12-01,Skinny Jeans,84
2016-01-01,Skinny Jeans,67
2016-02-01,Skinny Jeans,65
2016-03-01,Skinny Jeans,65
2016-04-01,Skinny Jeans,66
2016-05-01,Skinny Jeans,65
2016-06-01,Skinny Jeans,61
2016-07-01,Skinny Jeans,62
2016-08-01,Skinny Jeans,59
2016-09-01,Skinny Jeans,63
2016-10-01,Skinny Jeans,76
2016-11-01,Skinny Jeans,80
2016-12-01,Skinny Jeans,100
2017-01-01,Skinny Jeans,67
2017-02-01,Skinny Jeans,67
2017-03-01,Skinny Jeans,72
2017-04-01,Skinny Jeans,76
2017-05-01,Skinny Jeans,67
2017-06-01,Skinny Jeans,61
2017-07-01,Skinny Jeans,65
2017-08-01,Skinny Jeans,73
2017-09-01,Skinny Jeans,79
2017-10-01,Skinny Jeans,84
2017-11-01,Skinny Jeans,92
2017-12-01,Skinny Jeans,95
2018-01-01,Skinny Jeans,68
2018-02-01,Skinny Jeans,63
2018-03-01,Skinny Jeans,66
2018-04-01,Skinny Jeans,64
2018-05-01,Skinny Jeans,53
2018-06-01,Skinny Jeans,48
2018-07-01,Skinny Jeans,41
2018-08-01,Skinny Jeans,55
2018-09-01,Skinny Jeans,66
2018-10-01,Skinny Jeans,63
2018-11-01,Skinny Jeans,80
2018-12-01,Skinny Jeans,90
2019-01-01,Skinny Jeans,61
2019-02-01,Skinny Jeans,60
2019-03-01,Skinny Jeans,61
2019-04-01,Skinny Jeans,60
2019-05-01,Skinny Jeans,51
2019-06-01,Skinny Jeans,49
2019-07-01,Skinny Jeans,43
2019-08-01,Skinny Jeans,48
2019-09-01,Skinny Jeans,51
2019-10-01,Skinny Jeans,55
2019-11-01,Skinny Jeans,68
2019-12-01,Skinny Jeans,80
2020-01-01,Skinny Jeans,56
2020-02-01,Skinny Jeans,55
2020-03-01,Skinny Jeans,39
2020-04-01,Skinny Jeans,41
2020-05-01,Skinny Jeans,46
2020-06-01,Skinny Jeans,46
2020-07-01,Skinny Jeans,62
2020-08-01,Skinny Jeans,60
2020-09-01,Skinny Jeans,57
2020-10-01,Skinny Jeans,59
2020-11-01,Skinny Jeans,62
2020-12-01,Skinny Jeans,69
2021-01-01,Skinny Jeans,48
2021-02-01,Skinny Jeans,56
2021-03-01,Skinny Jeans,59
2021-04-01,Skinny Jeans,60
2021-05-01,Skinny Jeans,62
2021-06-01,Skinny Jeans,44
2021-07-01,Skinny Jeans,41
2021-08-01,Skinny Jeans,49
2021-09-01,Skinny Jeans,49
2021-10-01,Skinny Jeans,55
2021-11-01,Skinny Jeans,60
2021-12-01,Skinny Jeans,61
2022-01-01,Skinny Jeans,48
2022-02-01,Skinny Jeans,55
2022-03-01,Skinny Jeans,47
2022-04-01,Skinny Jeans,46
2022-05-01,Skinny Jeans,43
2022-06-01,Skinny Jeans,39
2022-07-01,Skinny Jeans,30
2022-08-01,Skinny Jeans,34
2022-09-01,Skinny Jeans,41
2022-10-01,Skinny Jeans,44
2022-11-01,Skinny Jeans,45
2022-12-01,Skinny Jeans,48
2023-01-01,Skinny Jeans,41
2023-02-01,Skinny Jeans,43
2023-03-01,Skinny Jeans,39
2023-04-01,Skinny Jeans,42
2023-05-01,Skinny Jeans,36
2023-06-01,Skinny Jeans,25
2023-07-01,Skinny Jeans,29
2023-08-01,Skinny Jeans,32
2023-09-01,Skinny Jeans,32
2023-10-01,Skinny Jeans,37
2023-11-01,Skinny Jeans,43
2023-12-01,Skinny Jeans,44
2024-01-01,Skinny Jeans,37
2024-02-01,Skinny Jeans,38
2024-03-01,Skinny Jeans,37
2024-04-01,Skinny Jeans,38
2024-05-01,Skinny Jeans,29
2024-06-01,Skinny Jeans,27
2024-07-01,Skinny Jeans,24
2024-08-01,Skinny Jeans,26
2024-09-01,Skinny Jeans,37
2024-10-01,Skinny Jeans,37
2024-11-01,Skinny Jeans,39
2024-12-01,Skinny Jeans,43
2025-01-01,Skinny Jeans,36
2025-02-01,Skinny Jeans,37
2025-03-01,Skinny Jeans,35
2025-04-01,Skinny Jeans,31
2025-05-01,Skinny Jeans,24
2025-06-01,Skinny Jeans,21
2025-07-01,Skinny Jeans,22
2025-08-01,Skinny Jeans,28
2025-09-01,Skinny Jeans,34
2025-10-01,Skinny Jeans,37
2025-11-01,Skinny Jeans,38
2025-12-01,Skinny Jeans,40
2026-01-01,Skinny Jeans,34
2026-02-01,Skinny Jeans,53
